                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.0351,                 0.6272,                  1.054,                0.96727,                0.88258,                0.92803,                0.63512,                  1.048,                0.52337,                 1.0687,               0.006832,               0.006832,               0.006832
                     66,                  1.017,                0.61665,                 1.0514,                0.96107,                0.88965,                0.92746,                0.63768,                 1.0404,                 0.5166,                 1.0735,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.0288,                0.61491,                  1.057,                0.96236,                  0.898,                0.92939,                0.63952,                 1.0307,                0.51582,                 1.0692,               0.006733,               0.006733,               0.006733
                     68,                 1.0195,                 0.6278,                 1.0515,                 0.9638,                0.88804,                0.92802,                0.63898,                 1.0297,                0.51401,                 1.0702,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0144,                 0.6151,                 1.0467,                0.95974,                   0.89,                0.92821,                0.64096,                 1.0298,                  0.515,                 1.0661,               0.006634,               0.006634,               0.006634
                     70,                 1.0323,                0.64271,                 1.0563,                0.96016,                0.89165,                0.92653,                0.63847,                 1.0327,                0.51218,                 1.0638,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0153,                0.60594,                 1.0472,                0.96579,                0.88766,                0.92684,                0.64208,                 1.0323,                0.51519,                 1.0691,               0.006535,               0.006535,               0.006535
                     72,                 1.0059,                0.59565,                 1.0405,                0.96977,                0.88554,                0.92859,                0.64251,                  1.028,                 0.5082,                 1.0661,              0.0064855,              0.0064855,              0.0064855
                     73,                 0.9998,                0.60738,                 1.0411,                0.97085,                0.88564,                0.92675,                0.64036,                 1.0229,                  0.505,                 1.0631,               0.006436,               0.006436,               0.006436
                     74,                0.99899,                0.60035,                 1.0394,                0.96526,                0.89302,                0.93059,                0.64143,                 1.0269,                0.50217,                 1.0657,              0.0063865,              0.0063865,              0.0063865
                     75,                0.98441,                0.59109,                 1.0325,                0.96017,                 0.8955,                0.93018,                0.64034,                  1.027,                0.49866,                 1.0678,               0.006337,               0.006337,               0.006337
                     76,                 1.0003,                0.60559,                 1.0402,                 0.9553,                 0.9009,                0.93074,                0.63999,                 1.0278,                0.50142,                 1.0697,              0.0062875,              0.0062875,              0.0062875
                     77,                0.99579,                0.59159,                 1.0448,                0.95871,                0.89577,                0.92555,                0.64189,                 1.0235,                 0.4939,                 1.0614,               0.006238,               0.006238,               0.006238
                     78,                0.98136,                 0.5815,                 1.0323,                0.95734,                0.89768,                0.93012,                0.64172,                 1.0275,                0.49833,                 1.0642,              0.0061885,              0.0061885,              0.0061885
                     79,                0.98361,                0.58225,                 1.0434,                0.97357,                0.88939,                0.92834,                0.64067,                 1.0265,                0.49561,                 1.0649,               0.006139,               0.006139,               0.006139
                     80,                0.97956,                0.57323,                 1.0316,                0.96188,                0.89456,                0.92744,                0.64192,                 1.0202,                0.49749,                 1.0595,              0.0060895,              0.0060895,              0.0060895
                     81,                0.96646,                0.57222,                 1.0297,                0.95871,                0.89788,                0.92615,                0.64315,                 1.0189,                0.49584,                 1.0565,                0.00604,                0.00604,                0.00604
                     82,                0.97237,                0.58391,                 1.0266,                0.96806,                0.89606,                0.92926,                0.64528,                 1.0183,                0.49423,                 1.0545,              0.0059905,              0.0059905,              0.0059905
                     83,                0.97503,                0.57582,                 1.0338,                0.96146,                0.90183,                0.93084,                 0.6464,                 1.0159,                0.49248,                 1.0557,               0.005941,               0.005941,               0.005941
                     84,                0.97288,                0.58511,                 1.0294,                0.96305,                0.89415,                 0.9312,                0.64545,                 1.0175,                0.49176,                 1.0593,              0.0058915,              0.0058915,              0.0058915
                     85,                0.96622,                0.58174,                 1.0264,                0.96902,                0.89054,                0.93194,                 0.6441,                  1.018,                0.49071,                 1.0596,               0.005842,               0.005842,               0.005842
                     86,                 0.9692,                0.57651,                 1.0342,                0.96644,                0.89504,                0.93041,                0.64378,                 1.0193,                0.49386,                 1.0573,              0.0057925,              0.0057925,              0.0057925
                     87,                0.95183,                0.56762,                  1.019,                0.96287,                0.89754,                0.93126,                0.64639,                 1.0167,                0.48834,                 1.0564,               0.005743,               0.005743,               0.005743
                     88,                0.96501,                 0.5642,                 1.0247,                0.96212,                0.89694,                0.93014,                0.64704,                 1.0138,                0.48572,                 1.0514,              0.0056935,              0.0056935,              0.0056935
